query_id,query,rank,document_id,title,artifact_family,source_path,score,matched_terms,summary
QUERY-003,cloud administrative access decision standard exception,1,SEC-EVID-0006,Cloud Administrative Access Pattern Decision Guide,cloud_admin_access,docs/cloud/cloud_admin_access_decision_guide.md,118,"access, administrative, cloud, decision, exception","# Cloud Administrative Access Pattern Decision Guide Generated: `2026-07-14T19:25:54.729123+00:00` ## Purpose This guide turns cloud administrative access patterns into architecture decision logic. The goal is to choose and defend an access pattern based on risk, evidence, operational burden, and governance maturity. ## Core Control Objective The objective is not to deploy a specific named service. The objective is to ensure administrative access is authorized, minimized, segmented, monitored, t..."
QUERY-003,cloud administrative access decision standard exception,2,SEC-EVID-0007,Cloud Administrative Access Evidence Playbook,cloud_admin_access,docs/cloud/cloud_admin_access_evidence_playbook.md,116,"access, administrative, cloud, decision, exception, standard","# Cloud Administrative Access Evidence Playbook Date: `2026-07-16` ## Purpose This playbook turns the cloud administrative access ADR into evidence requirements and exception-management practices. The goal is to make the access decision auditable: who can administer workloads, how they connect, what risks remain, and what evidence proves the access path is controlled. ## Core Evidence Questions For any cloud administrative access pattern, answer these questions: 1. Who is authorized to administe..."
QUERY-003,cloud administrative access decision standard exception,3,SEC-EVID-0001,ADR-001: Cloud Administrative Access Pattern Standard,architecture_decision,docs/cloud/adr-001-cloud-admin-access-pattern.md,97,"access, administrative, cloud, decision, exception, standard","# ADR-001: Cloud Administrative Access Pattern Standard Date: `2026-07-14` Status: **Proposed** ## Context Cloud administrative access can be implemented through several patterns, including direct public SSH/RDP, bastion hosts, VPN or private connectivity, identity-aware session management, and privileged access workflows. These patterns are not interchangeable. Each changes the risk profile, operational burden, logging quality, and evidence available for review. The control objective is not to..."
QUERY-003,cloud administrative access decision standard exception,4,SEC-EVID-0008,Cloud Administrative Access Pattern Field Cards,cloud_admin_access,docs/cloud/cloud_admin_access_field_cards.md,83,"access, administrative, cloud","# Cloud Administrative Access Pattern Field Cards Generated: `2026-06-26T15:32:33.548567+00:00` ## Purpose These field cards convert cloud administrative access patterns into portable study notes. The goal is pattern fluency: understand what each pattern replaces, why it exists, what risk it reduces, what risk it introduces, and what evidence proves it is working. ## Study Rule For each pattern, be able to explain it using this sentence: > This pattern is the cloud version of _____. It reduces _..."
QUERY-003,cloud administrative access decision standard exception,5,SEC-EVID-0034,Cloud Administrative Access Pattern Report,cloud_admin_access,evidence/generated/cloud_admin_access_pattern_report.md,76,"access, administrative, cloud","# Cloud Administrative Access Pattern Report Generated: `2026-06-26T14:43:12.377910+00:00` ## Purpose This report compares common administrative access patterns across cloud environments. The goal is to translate familiar on-prem systems engineering concepts into cloud architecture, risk, and evidence terms. ## Executive Summary Administrative access is not a single control. It is a pattern made from identity, network exposure, session control, logging, and evidence retention. A bastion host is..."
QUERY-004,authorized minimized segmented monitored attributable reviewable,1,SEC-EVID-0048,Security Evidence Retrieval Report,evidence_report,evidence/generated/security_evidence_query_report.md,21,"attributable, authorized, minimized, monitored, reviewable, segmented",# Security Evidence Retrieval Report Generated: `2026-07-24T23:30:15.284488+00:00` Overall Status: **PASS** ## Purpose This report records bounded retrieval against the local security evidence corpus. The retrieval layer searches only indexed project evidence and returns source-backed results. ## Retrieval Summary | Field | Value | |---|---:| | Corpus records available | `61` | | Queries executed | `4` | | Results returned | `20` | ## Query Results ### Query: `public administrative port exposure...
QUERY-004,authorized minimized segmented monitored attributable reviewable,2,SEC-EVID-0002,AWS Cloud Administrative Access Evidence Package,cloud_admin_access,docs/cloud/aws_admin_access_evidence_package.md,17,"attributable, authorized, minimized, monitored, reviewable, segmented","# AWS Cloud Administrative Access Evidence Package Date: `2026-07-18` Package Status: **PASS** ## Purpose This package summarizes evidence related to AWS administrative access exposure and evidence-collector readiness. It ties together the architecture decision record, evidence playbook, permission preflight, and live security-group exposure collection. ## Control Objective Administrative access should be authorized, minimized, segmented, monitored, attributable, time-appropriate, and reviewable..."
QUERY-004,authorized minimized segmented monitored attributable reviewable,3,SEC-EVID-0006,Cloud Administrative Access Pattern Decision Guide,cloud_admin_access,docs/cloud/cloud_admin_access_decision_guide.md,17,"attributable, authorized, minimized, monitored, reviewable, segmented","# Cloud Administrative Access Pattern Decision Guide Generated: `2026-07-14T19:25:54.729123+00:00` ## Purpose This guide turns cloud administrative access patterns into architecture decision logic. The goal is to choose and defend an access pattern based on risk, evidence, operational burden, and governance maturity. ## Core Control Objective The objective is not to deploy a specific named service. The objective is to ensure administrative access is authorized, minimized, segmented, monitored, t..."
QUERY-004,authorized minimized segmented monitored attributable reviewable,4,SEC-EVID-0019,Study Scenarios With Key,general_security_artifact,docs/cloud/study_scenarios_with_key.md,16,"attributable, authorized, minimized, monitored, reviewable, segmented","Scenario Bank 1. Temporary lab VM A developer needs SSH access to a disposable EC2 instance for a two-hour troubleshooting session. The instance contains no production data and will be destroyed today. Decide whether direct public SSH is acceptable, and under what conditions. 2. Production database subnet A production database server sits in a private subnet. An administrator wants to RDP directly to it from home because “it’s faster.” Choose the access pattern and explain why direct access is a..."
QUERY-004,authorized minimized segmented monitored attributable reviewable,5,SEC-EVID-0007,Cloud Administrative Access Evidence Playbook,cloud_admin_access,docs/cloud/cloud_admin_access_evidence_playbook.md,11,"attributable, authorized, minimized, reviewable","# Cloud Administrative Access Evidence Playbook Date: `2026-07-16` ## Purpose This playbook turns the cloud administrative access ADR into evidence requirements and exception-management practices. The goal is to make the access decision auditable: who can administer workloads, how they connect, what risks remain, and what evidence proves the access path is controlled. ## Core Evidence Questions For any cloud administrative access pattern, answer these questions: 1. Who is authorized to administe..."
